TITULO,AÑO,DURACION (min),GENERO,DIRECCION,GUION,PROTAGONISTA,PAIS,NOTA,VOTOS
42,2013,128,Drama,Brian Helgeland,Brian Helgeland,Chadwick Boseman,Estados Unidos,6.4,3769
42 segundos,2022,106,Drama,Àlex Murrull,"Àlex Murrull,",Álvaro Cervantes,España,6.5,5326
45 años,2015,93,Drama,Andrew Haigh,Andrew Haigh,Charlotte Rampling,Reino Unido,6.5,5222
5 a 7,2014,95,Romance,Victor Levin,Victor Levin,Blythe Auffarth,Estados Unidos,6.1,1223
50 hombres muertos,2008,117,Thriller,Kari Skogland,Kari Skogland,Ben Kingsley,Reino Unido,6.4,3253
50 primeras citas,2004,99,Romance,Peter Segal,Peter Segal,Adam Sandler,Estados Unidos,6.0,35101
50/50,2011,100,Drama,Jonathan Levine,Jonathan Levine,Joseph Gordon-Levitt,Estados Unidos,6.9,19006
53 días de invierno,2006,91,Drama,Judith Colell,Judith Colell,John Wayne,Estados Unidos,6.2,1495
5x2 (Cinco veces dos),2004,90,Drama,François Ozon,François Ozon,Valeria Bruni Tedeschi,Francia,6.3,1397
7 cajas,2012,105,Thriller,Juan Carlos Maneglia,"Juan Carlos Maneglia,",Lali Gonzalez,Paraguay,6.8,3684
7 días de enero,1979,128,Drama,Juan Antonio Bardem,Juan Antonio Bardem,Manuel Ángel Egea,España,6.3,1460
7 prisioneros,2021,93,Drama,Alexandre Moratto,Alexandre Moratto,Rosario Dawson,Estados Unidos,6.8,2678
71 fragmentos de una cronología del azar,1994,95,Drama,Michael Haneke,Michael Haneke,Gabriel Cosmin Urdes,Austria,6.8,2448
8 millas,2002,112,Drama,Curtis Hanson,Curtis Hanson,Eminem,Estados Unidos,5.8,33870
8 mujeres,2002,103,Comedia,François Ozon,François Ozon,Stephan James,Canadá,6.2,5445
99 Homes,2014,112,Drama,Ramin Bahrani,Ramin Bahrani,Andrew Garfield,Estados Unidos,6.5,1019
A Bittersweet Life,2005,120,Thriller,Kim Jee-woon,Kim Jee-woon,Lee Byung-hun,Corea del Sur,6.8,4114
A Chorus Line,1985,120,Musical,Richard Attenborough,Richard Attenborough,Michael Douglas,Estados Unidos,6.5,4865
A Esmorga,2014,107,Drama,Ignacio Vilar,Ignacio Vilar,Karra Elejalde,España,6.6,2807
A Good Woman,2004,92,Drama,Mike Barker,Mike Barker,Takeshi Kitano,Japón,6.2,4442
A Hard Day,2014,111,Thriller,Kim Seong-hoon,Kim Seong-hoon,Lee Sun-Kyun,Corea del Sur,6.6,1597
A Moment to Remember,2004,117,Romance,John H. Lee,John H. Lee,Jung Woo-sung,Corea del Sur,7.5,1539
A Scanner Darkly (Una mirada a la oscuridad),2006,100,Animación,Richard Linklater,Richard Linklater,Keanu Reeves,Estados Unidos,6.6,17271
A Silent Voice,2016,130,Animación,Naoko Yamada,Naoko Yamada, ,Japón,7.2,5788
A Sun,2019,156,Drama,Chung Mong-hong,Chung Mong-hong,Chen Yi-Wen,Taiwán,7.1,1232
A Taxi Driver: Los héroes de Gwangju,2017,137,Drama,Jang Hoon,Jang Hoon,Song Kang-ho,Corea del Sur,7.2,1153
A War (Una guerra),2015,115,Drama,Tobias Lindholm,Tobias Lindholm,Pilou Asbæk,Dinamarca,6.4,1892
A cada uno su cine,2007,111,Drama,Theo Angelopoulos,"Theo Angelopoulos,",Cindy Beckett,Francia,6.2,1313
A cambio de nada,2015,93,Drama,Daniel Guzmán,Daniel Guzmán,Miguel Herrán,España,6.4,13604
A ciegas,2008,118,Drama,Fernando Meirelles,Fernando Meirelles,Julianne Moore,Brasil,6.3,22779
A contrarreloj,2003,114,Thriller,Carl Franklin,Carl Franklin,Denzel Washington,Estados Unidos,5.8,9001
A dos metros de ti,2019,116,Romance,Justin Baldoni,Justin Baldoni,Haley Lu Richardson,Estados Unidos,6.2,2672
A escondidas,2014,92,Drama,Mikel Rueda,Mikel Rueda,Andrew McCarthy,Estados Unidos,5.8,1508
A la caza,1980,106,Intriga,William Friedkin,William Friedkin,Samuel L. Jackson,Estados Unidos,6.2,5366
A la caza del lobo rojo,1989,108,Intriga,Andrew Davis,Andrew Davis,Gene Hackman,Estados Unidos,5.8,1747
A los que aman,1998,94,Drama,Isabel Coixet,Isabel Coixet,Julio Núñez,España,5.8,3671
A nuestros amores,1983,102,Romance,Maurice Pialat,Maurice Pialat,Sandrine Bonnaire,Francia,7.1,1319
A primera vista,2014,97,Drama,Daniel Ribeiro,Daniel Ribeiro,Ghilherme Lobo,Brasil,7.1,1914
A propósito de Elly,2009,119,Drama,Asghar Farhadi,Asghar Farhadi,Golshifteh Farahani,Irán,7.3,3592
A propósito de Henry,1991,107,Drama,Mike Nichols,Mike Nichols,Harrison Ford,Estados Unidos,6.3,20357
A propósito de Llewyn Davis,2013,105,Drama,Joel Coen,"Joel Coen,",Oscar Isaac,Estados Unidos,6.7,25522
A propósito de Schmidt,2002,124,Drama,Alexander Payne,Alexander Payne,Jack Nicholson,Estados Unidos,6.4,20830
A través de los olivos,1994,103,Romance,Abbas Kiarostami,Abbas Kiarostami,Hossein Rezai,Irán,7.3,3140
A.I. Inteligencia Artificial,2001,146,Ciencia ficción,Steven Spielberg,Steven Spielberg,Haley Joel Osment,Estados Unidos,6.5,66532
AIR,2023,112,Drama,Ben Affleck,Ben Affleck,Jack Nicholson,Estados Unidos,6.8,7779
Abajo el telón,1999,132,Drama,Tim Robbins,Tim Robbins,Hank Azaria,Estados Unidos,6.8,2755
Abierto hasta el amanecer,1996,110,Thriller,Robert Rodriguez,Robert Rodriguez,George Clooney,Estados Unidos,6.6,61277
Abominable,2019,97,Animación,Jill Culton,"Jill Culton,", ,Estados Unidos,6.2,3868
Abre los ojos,1997,117,Intriga,Alejandro Amenábar,Alejandro Amenábar,Eduardo Noriega,España,7.3,71403
Abyss,1989,146,Aventuras,James Cameron,James Cameron,Ed Harris,Estados Unidos,6.7,43467
Academia Rushmore,1998,93,Comedia,Wes Anderson,Wes Anderson,Jason Schwartzman,Estados Unidos,6.8,13526
Acantilado rojo (versión internacional),2009,148,Bélico,John Woo,John Woo,Tony Leung Chiu-Wai,China,6.5,7633
Acción civil,1998,115,Drama,Steven Zaillian,Steven Zaillian,John Travolta,Estados Unidos,5.8,6999
Acción mutante,1993,94,Ciencia ficción,Álex de la Iglesia,Álex de la Iglesia,Antonio Resines,España,5.9,19043
Acordes y desacuerdos,1999,95,Comedia,Woody Allen,Woody Allen,Sean Penn,Estados Unidos,7.1,18341
Acorralado (Rambo),1982,97,Acción,Ted Kotcheff,Ted Kotcheff,Sylvester Stallone,Estados Unidos,6.6,73043
Across the Universe,2007,133,Musical,Julie Taymor,Julie Taymor,Evan Rachel Wood,Estados Unidos,6.9,12930
Acusados,1988,105,Drama,Jonathan Kaplan,Jonathan Kaplan,Jodie Foster,Estados Unidos,6.5,6207
Ad Astra,2019,122,Ciencia ficción,James Gray,James Gray,Brad Pitt,Estados Unidos,5.8,27664
Adam,2009,99,Drama,Max Mayer,Max Mayer,Hugh Dancy,Estados Unidos,6.5,5077
Adam,2019,98,Drama,Maryam Touzani,Maryam Touzani,Lubna Azabal,Marruecos,6.9,1485
Adaptation. El ladrón de orquídeas,2002,114,Comedia,Spike Jonze,Spike Jonze,Nicolas Cage,Estados Unidos,7.1,42136
Adicto,2011,100,Drama,Adam Kassen,"Adam Kassen,",Chris Evans,Estados Unidos,6.0,1432
Adiós,2019,111,Thriller,Paco Cabezas,Paco Cabezas,Mario Casas,España,6.0,7653
Adiós Bafana,2007,113,Drama,Bille August,Bille August,Joseph Fiennes,Reino Unido,6.4,2331
Adiós a mi concubina,1993,171,Drama,Chen Kaige,Chen Kaige,Gong Li,China,7.3,6996
"Adiós pequeña, adiós",2007,114,Intriga,Ben Affleck,Ben Affleck,Casey Affleck,Estados Unidos,6.9,30932
"Adiós, Christopher Robin",2017,107,Drama,Simon Curtis,Simon Curtis,Domhnall Gleeson,Reino Unido,6.1,1298
"Adiós, muchachos",1987,104,Drama,Louis Malle,Louis Malle,Gaspard Manesse,Francia,7.8,15324
"Adiós, muñeca",1975,97,Cine negro,Dick Richards,Dick Richards,Nigel Hawthorne,Estados Unidos,6.8,2349
Adventureland,2009,108,Comedia,Greg Mottola,Greg Mottola,Jesse Eisenberg,Estados Unidos,6.1,14169
Adú,2020,119,Drama,Salvador Calvo,Salvador Calvo,Kaitlyn Dever,Estados Unidos,6.2,10383
Aflicción,1997,114,Drama,Paul Schrader,Paul Schrader,Nick Nolte,Estados Unidos,7.1,6711
After Life,1998,118,Drama,Hirokazu Koreeda,Hirokazu Koreeda,Arata Iura,Japón,7.2,1623
Aftersun,2022,98,Drama,Charlotte Wells,Charlotte Wells,Paul Mescal,Reino Unido,7.3,7074
Agenda oculta,1990,105,Intriga,Ken Loach,Ken Loach,Frances McDormand,Reino Unido,7.2,4909
Agnes de Dios,1985,101,Drama,Norman Jewison,Norman Jewison,Jane Fonda,Estados Unidos,6.1,2016
Agosto,2013,121,Drama,John Wells,John Wells,Meryl Streep,Estados Unidos,6.7,20390
Agua,2005,112,Drama,Deepa Mehta,Deepa Mehta,Sarala Kariyawasam,India,7.4,4038
Agua para elefantes,2011,122,Romance,Francis Lawrence,Francis Lawrence,Reese Witherspoon,Estados Unidos,6.2,16853
Agua tibia bajo un puente rojo,2001,119,Drama,Shôhei Imamura,Shôhei Imamura,Kôji Yakusho,Japón,6.4,1230
Aguas oscuras,2019,126,Drama,Todd Haynes,Todd Haynes,Mark Ruffalo,Estados Unidos,6.8,9499
Aguas tranquilas,2014,110,Drama,Naomi Kawase,Naomi Kawase,Nijiro Murakami,Japón,6.6,1391
"Aguirre, la cólera de Dios",1972,94,Aventuras,Werner Herzog,Werner Herzog,Klaus Kinski,Alemania del Oeste (RFA),7.2,10748
Agárrame esos fantasmas,1996,110,Comedia,Peter Jackson,Peter Jackson,Evan Rachel Wood,Estados Unidos,6.1,18507
Ahora me ves...,2013,124,Thriller,Louis Leterrier,Louis Leterrier,Jesse Eisenberg,Estados Unidos,6.0,52298
Ahora o nunca,2007,97,Comedia,Rob Reiner,Rob Reiner,Jack Nicholson,Estados Unidos,6.7,27310
"Ahora sí, antes no",2015,121,Drama,Hong Sang-soo,Hong Sang-soo,Jung Jae-young,Corea del Sur,6.6,2268
Ahora y siempre,2012,104,Drama,Ol Parker,Ol Parker,Dakota Fanning,Reino Unido,6.0,2508
Aimée y Jaguar,1999,125,Drama,Max Färberböck,Max Färberböck,Maria Schrader,Alemania,7.0,1507
Air Doll (Muñeca de aire),2009,116,Drama,Hirokazu Koreeda,Hirokazu Koreeda,Bae Doona,Japón,6.3,4295
Airbag,1997,125,Comedia,Juanma Bajo Ulloa,Juanma Bajo Ulloa,Karra Elejalde,España,6.6,46595
Ajami,2009,120,Drama,Scandar Copti,"Scandar Copti,",Shahir Kabaha,Israel,6.6,1640
Akelarre,2020,90,Drama,Pablo Agüero,Pablo Agüero,Amaia Aberasturi,España,6.1,9808
Akira,1988,124,Animación,Katsuhiro Ōtomo,Katsuhiro Ōtomo, ,Japón,7.6,58658
Al caer el sol,1998,95,Intriga,Robert Benton,Robert Benton,Gaspard Ulliel,Canadá,6.2,5468
Al descubierto,2022,129,Drama,Maria Schrader,Maria Schrader,Zoe Kazan,Estados Unidos,6.6,1553
Al encuentro de Mr. Banks,2013,125,Drama,John Lee Hancock,John Lee Hancock,Emma Thompson,Estados Unidos,6.7,17413
Al filo de la noticia,1987,131,Comedia,James L. Brooks,James L. Brooks,William Hurt,Estados Unidos,6.3,7483
Al filo de la sospecha,1985,108,Intriga,Richard Marquand,Richard Marquand,Glenn Close,Estados Unidos,5.8,2479
Al filo de los diecisiete,2016,102,Comedia,Kelly Fremon,Kelly Fremon,Hailee Steinfeld,Estados Unidos,6.4,4862
Al filo del mañana,2014,113,Ciencia ficción,Doug Liman,Doug Liman,Tom Cruise,Estados Unidos,6.8,42720
Al final de la escalera,1980,109,Terror,Peter Medak,Peter Medak,George C. Scott,Canadá,7.2,27693
Al final del edén,1998,100,Drama,Larry Clark,Larry Clark,James Woods,Estados Unidos,6.2,1686
Al final del túnel,2016,120,Thriller,Rodrigo Grande,Rodrigo Grande,Leonardo Sbaraglia,Argentina,6.4,7365
Al límite,1999,121,Drama,Martin Scorsese,Martin Scorsese,Nicolas Cage,Estados Unidos,6.4,9926
Al otro lado,2007,122,Drama,Fatih Akin,Fatih Akin,Tuncel Kurtiz,Alemania,7.3,8854
Al otro lado de la ley,2018,159,Thriller,S. Craig Zahler,S. Craig Zahler,Mel Gibson,Estados Unidos,6.6,6053
Alabama Monroe,2012,112,Drama,Felix Van Groeningen,Felix Van Groeningen,Veerle Baetens,Bélgica,7.2,10259
Aladdin,2019,128,Fantástico,Guy Ritchie,Guy Ritchie,Mena Massoud,Estados Unidos,6.2,23968
Alas de mariposa,1991,108,Drama,Juanma Bajo Ulloa,Juanma Bajo Ulloa,Harvey Keitel,Estados Unidos,6.8,5036
Albert Nobbs,2011,108,Drama,Rodrigo García,Rodrigo García,Glenn Close,Reino Unido,5.9,5159
Albino Alligator (La trampa del caimán),1996,97,Thriller,Kevin Spacey,Kevin Spacey,Matt Dillon,Estados Unidos,5.9,1375
Alcarràs,2022,120,Drama,Carla Simón,Carla Simón,Jordi Pujol Dolcet,España,6.8,12116
Algo en común,2004,109,Comedia,Zach Braff,Zach Braff,Zach Braff,Estados Unidos,6.8,15675
Algo para recordar,1993,101,Romance,Nora Ephron,Nora Ephron,Tom Hanks,Estados Unidos,6.0,41705
Algo pasa con Mary,1998,119,Comedia,Peter Farrelly,"Peter Farrelly,",Maas Bronkhuyzen,Países Bajos (Holanda),6.2,155733
Algo salvaje,1986,113,Romance,Jonathan Demme,Jonathan Demme,Jeff Daniels,Estados Unidos,6.0,4132
Alguien voló sobre el nido del cuco,1975,133,Drama,Milos Forman,Milos Forman,Jack Nicholson,Estados Unidos,8.3,110750
Algunos hombres buenos,1992,134,Intriga,Rob Reiner,Rob Reiner,Tom Cruise,Estados Unidos,6.8,55476
Ali,2001,167,Drama,Michael Mann,Michael Mann,Will Smith,Estados Unidos,6.4,26258
Aliados,2016,124,Thriller,Robert Zemeckis,Robert Zemeckis,Brad Pitt,Estados Unidos,6.2,16614
Alice,1990,100,Comedia,Woody Allen,Woody Allen,Mia Farrow,Estados Unidos,6.6,6452
Alicia en el país de las maravillas,2010,108,Fantástico,Tim Burton,Tim Burton,Mia Wasikowska,Estados Unidos,6.0,79991
Alicia en las ciudades,1974,110,Drama,Wim Wenders,Wim Wenders,Rüdiger Vogler,Alemania del Oeste (RFA),7.7,4031
Alicia ya no vive aquí,1974,113,Drama,Martin Scorsese,Martin Scorsese,Ellen Burstyn,Estados Unidos,6.6,4058
"Alien, el octavo pasajero",1979,116,Ciencia ficción,Ridley Scott,Ridley Scott,Sigourney Weaver,Estados Unidos,8.1,122984
Aliens: El regreso,1986,150,Ciencia ficción,James Cameron,James Cameron,Sigourney Weaver,Estados Unidos,7.4,84539
Alien³,1992,115,Ciencia ficción,David Fincher,David Fincher,Sigourney Weaver,Estados Unidos,5.9,55679
Alita: Ángel de combate,2019,121,Ciencia ficción,Robert Rodriguez,Robert Rodriguez,Rosa Salazar,Estados Unidos,6.4,18922
All That Jazz (Empieza el espectáculo),1979,123,Drama,Bob Fosse,Bob Fosse,Roy Scheider,Estados Unidos,7.5,10336
Alma salvaje,2014,115,Drama,Jean-Marc Vallée,Jean-Marc Vallée,Reese Witherspoon,Estados Unidos,6.5,13484
Almanya: Bienvenido a Alemania,2011,96,Drama,Yasemin Samdereli,Yasemin Samdereli,Fahri Yardim,Alemania,6.5,1393
Almas en pena de Inisherin,2022,114,Drama,Martin McDonagh,Martin McDonagh,Colin Farrell,Reino Unido,7.0,14789
Alpha Dog,2006,117,Thriller,Nick Cassavetes,Nick Cassavetes,Emile Hirsch,Estados Unidos,6.3,11819
Alps,2011,93,Drama,Yorgos Lanthimos,Yorgos Lanthimos,Aris Servetalis,Grecia,6.1,4241
Alrededor de la medianoche,1986,133,Drama,Bertrand Tavernier,Bertrand Tavernier,Dexter Gordon,Francia,7.4,1948
Alta fidelidad,2000,107,Comedia,Stephen Frears,Stephen Frears,John Cusack,Estados Unidos,7.1,36427
Alta tensión,2003,90,Terror,Alexandre Aja,Alexandre Aja,Cécile De France,Francia,6.2,10981
Amadeus,1984,158,Drama,Milos Forman,Milos Forman,Tom Hulce,Estados Unidos,7.7,76911
Amador,2010,112,Drama,Fernando León de Aranoa,Fernando León de Aranoa,Magaly Solier,España,5.8,2312
Amama,2015,103,Drama,Asier Altuna,Asier Altuna,Iraia Elias,España,6.4,1849
Amanece en Edimburgo,2013,100,Musical,Dexter Fletcher,Dexter Fletcher,Peter Mullan,Reino Unido,5.8,2938
"Amanece, que no es poco",1989,106,Comedia,José Luis Cuerda,José Luis Cuerda,Antonio Resines,España,7.5,39692
Amanecer Zulú,1979,117,Aventuras,Douglas Hickox,Douglas Hickox,Burt Lancaster,Estados Unidos,6.4,1370
Amanecer de los muertos,2004,100,Terror,Zack Snyder,Zack Snyder,Sarah Polley,Estados Unidos,6.5,47509
Amantes,1991,103,Drama,Vicente Aranda,Vicente Aranda,Jorge Sanz,España,6.6,8836
Amar peligrosamente,2003,126,Aventuras,Martin Campbell,Martin Campbell,Angelina Jolie,Estados Unidos,6.0,7847
Amarcord,1973,127,Comedia,Federico Fellini,Federico Fellini,Bruno Zanin,Italia,8.0,19509
Amazing Grace,2006,111,Drama,Michael Apted,Michael Apted,Ioan Gruffudd,Reino Unido,6.4,1711
Amenaza en la sombra,1973,110,Thriller,Nicolas Roeg,Nicolas Roeg,Donald Sutherland,Reino Unido,6.4,4990
Amenazados,2010,97,Thriller,Gregor Jordan,Gregor Jordan,Joaquin Phoenix,Estados Unidos,6.2,5880
American Animals,2018,120,Drama,Bart Layton,Bart Layton,François Civil,Francia,6.2,3229
American Beauty,1999,122,Drama,Sam Mendes,Sam Mendes,Kevin Spacey,Estados Unidos,7.9,170624
American Gangster,2007,157,Thriller,Ridley Scott,Ridley Scott,Denzel Washington,Estados Unidos,7.6,77262
American Graffiti,1973,110,Drama,George Lucas,George Lucas,Richard Dreyfuss,Estados Unidos,6.7,12161
American History X,1998,119,Drama,Tony Kaye,Tony Kaye,Edward Norton,Estados Unidos,8.3,152288
American Honey,2016,163,Drama,Andrea Arnold,Andrea Arnold,Sasha Lane,Reino Unido,6.1,2965
American Pie,1999,98,Comedia,Paul Weitz,"Paul Weitz,",Jason Biggs,Estados Unidos,5.9,112003
American Psycho,2000,101,Drama,Mary Harron,Mary Harron,Christian Bale,Estados Unidos,6.6,61070
American Splendor,2003,100,Drama,Robert Pulcini,"Robert Pulcini,",Paul Giamatti,Estados Unidos,6.9,11502
Amerrika,2009,96,Drama,Cherien Dabis,Cherien Dabis,Nisreen Faour,Estados Unidos,6.3,2140
Amigo amado (Amic/Amat),1999,90,Drama,Ventura Pons,Ventura Pons,Josep Maria Pou,España,6.1,1451
Amigos de más,2013,98,Romance,Michael Dowse,Michael Dowse,Daniel Radcliffe,Canadá,6.0,10939
Amigos y vecinos,1998,100,Comedia,Neil LaBute,Neil LaBute,Jason Patric,Estados Unidos,5.8,1222
Amistad,1997,155,Drama,Steven Spielberg,Steven Spielberg,Matthew McConaughey,Estados Unidos,5.9,10374
Ammonite,2020,113,Romance,Francis Lee,Francis Lee,Kate Winslet,Reino Unido,6.3,1583
Amo tu cama rica,1991,106,Romance,Emilio Martínez-Lázaro,Emilio Martínez-Lázaro,Ariadna Gil,España,5.8,2926
Amor,2012,127,Drama,Michael Haneke,Michael Haneke,Jean-Louis Trintignant,Austria,7.6,32430
Amor a quemarropa,1993,120,Thriller,Tony Scott,Tony Scott,Christian Slater,Estados Unidos,7.3,35347
Amor bajo el espino blanco,2010,114,Drama,Zhang Yimou,Zhang Yimou,Zhou Dongyu,China,7.3,5629
Amor de gata,2020,104,Animación,Junichi Sato,"Junichi Sato,",Patricia Arquette,Reino Unido,6.1,1348
Amor inmortal,1994,116,Drama,Bernard Rose,Bernard Rose,Gary Oldman,Estados Unidos,6.6,2875
Amor y letras,2012,97,Comedia,Josh Radnor,Josh Radnor,Josh Radnor,Estados Unidos,5.9,6394
Amores perros,2000,150,Drama,Alejandro González Iñárritu,Alejandro González Iñárritu,Emilio Echevarría,México,7.7,76287
Amélie,2001,120,Comedia,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Audrey Tautou,Francia,7.8,157074
Amén,2002,132,Drama,Costa-Gavras,Costa-Gavras,Ulrich Tukur,Francia,7.1,8457
An American Crime,2007,98,Thriller,Tommy O'Haver,Tommy O'Haver,Catherine Keener,Estados Unidos,6.6,8325
An Education,2009,95,Drama,Lone Scherfig,Lone Scherfig,Carey Mulligan,Reino Unido,6.6,23512
An Elephant Sitting Still,2018,234,Drama,Hu Bo,Hu Bo,Zhang Yu,China,7.5,1692
Ana y el rey,1999,147,Romance,Andy Tennant,Andy Tennant,Jodie Foster,Estados Unidos,5.9,12818
Ana y los lobos,1973,97,Drama,Carlos Saura,Carlos Saura,Geraldine Chaplin,España,6.8,2472
Anastasia,1997,94,Animación,Don Bluth,"Don Bluth,", ,Estados Unidos,6.4,20693
Ane,2020,100,Drama,David P. Sañudo,David P. Sañudo,Patricia López Arnaiz,España,5.9,3570
Angel-A,2005,90,Romance,Luc Besson,Luc Besson,Jamel Debbouze,Francia,6.8,2254
Angustia,1987,91,Terror,Bigas Luna,Bigas Luna,Zelda Rubinstein,España,6.3,3640
Animal Factory,2000,94,Drama,Steve Buscemi,Steve Buscemi,Willem Dafoe,Estados Unidos,6.0,2744
Animal Kingdom,2010,112,Thriller,David Michôd,David Michôd,James Frecheville,Australia,6.6,12551
Animales fantásticos y dónde encontrarlos,2016,133,Fantástico,David Yates,David Yates,Eddie Redmayne,Reino Unido,6.2,35697
Animales nocturnos,2016,115,Thriller,Tom Ford,Tom Ford,Amy Adams,Estados Unidos,7.1,37934
Animatrix,2003,102,Animación,Andrew R. Jones,"Andrew R. Jones,", ,Estados Unidos,7.0,21037
